placekey,safegraph_place_id,brands,location_name,street_address,city,region,postal_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts
222-222@8tm-nn4-9zz,sg:5821571f50094392984d2a243bc041d9,Lowe's,Lowe's,407 Lowder Milk Rd,Española,NM,87532,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,881.0,501.0
222-222@64h-vy6-v2k,sg:c6b5a1404d4e4a49b6a41bc840648744,The Home Depot,The Home Depot,1400 Tintern St,Chesapeake,VA,23320,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3005.0,1900.0
zzw-222@5p2-2kk-wzf,sg:5ea657f653d74a61a2058e034d9375b2,Lowe's,Lowe's,8707 S 71st Plz,Papillion,NE,68133,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2360.0,1451.0
222-222@63s-xq8-8n5,sg:94e31ef88cf448af9db99b6a26021edd,Lowe's,Lowe's,850 E High St,Carlisle,PA,17013,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1981.0,1181.0
zzy-222@8gq-vgr-dvz,sg:b8c51bc239dc49f0b6112abfaf17cf59,The Home Depot,The Home Depot,417 N Hwy 19,Palatka,FL,32177,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2292.0,1272.0
222-223@8g7-843-6hq,sg:cdd32fb27173443b874bcc352f3b5631,Lowe's,Lowe's,224 Bobby Jones Expy,Martinez,GA,30907,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3258.0,2065.0
222-222@5py-t6t-h5z,sg:3ae51bf88e014e1fa204a26fffd9c552,Lowe's,Lowe's,2700 N 6th St,Vincennes,IN,47591,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2566.0,1432.0
zzy-222@8g6-yjn-y35,sg:798c953c0ace47d0ad56cbb0811841f7,The Home Depot,The Home Depot,6400 Ptree Dnwdy Rd NW,Sandy Springs,GA,30328,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2307.0,1495.0
222-222@8gg-zrp-py9,sg:e8dd7543746c4bba939ddaa7fc3562af,Lowe's,Lowe's,11 Bay Ln,Camden,SC,29020,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3352.0,1755.0
zzw-222@8fc-f5s-7t9,sg:6e9ac8128c3841e0b81f4eeb34aff929,Lowe's,Lowe's,3807 FM 1092 Rd,Missouri City,TX,77459,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2880.0,1830.0
224-222@5sb-7y6-q75,sg:6eda5c1e29074393a3554a4b21c6cf3c,The Home Depot,The Home Depot,37 W North Ave,Northlake,IL,60164,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2367.0,1598.0
222-222@5pj-pyx-zfz,sg:9f7a8c192b264fba811a26d702665ee8,Lowe's,Lowe's,760 Eagles Ct,Oak Grove Village,MO,63080,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,1808.0,973.0
zzw-222@62k-vrc-73q,sg:1353ce3401e542ccb60c176dc666abfd,The Home Depot,The Home Depot,245 Riverside St,Portland,ME,04103,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1184.0,746.0
zzw-222@5vh-b77-hh5,sg:beac2c3a05d8444881f34f74021e6523,The Home Depot,The Home Depot,480 E Hamilton Ave,Campbell,CA,95008,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2126.0,1204.0
222-222@5r2-mxn-p5f,sg:1cc062c580d64bfcb4a62cc04a8cc280,The Home Depot,The Home Depot,4590 Southwest Dr,Abilene,TX,79606,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2645.0,1677.0
